WaveMeanDirection,WindDirection,CurrentDirection,CombinedStressWindDirection,IsBetweenWindAndCurrent
-24.4493572326928,334.823676415202,100.118621826172,326.441699177613,0
4.724983215332,4.89586803268361,256.992699553556,2.72722736396264,0
8.5973091125488,7.63013569318099,261.199127197266,7.55242242737996,0
-1.04399840030196,359.89631877244,255.259521484375,348.466342124828,0
-1.46767252031366,357.549668248929,254.994660975751,354.778148905144,0
10.1640632793351,10.4536004142547,247.841673343458,14.1082450572376,1
1.72943115234381,2.56790994664999,254.993420323017,1.41778202922785,0
-8.31762448408145,351.182314849898,75.9546097315438,353.62689738388,1
12.1228875981646,12.6213556605149,248.02184400565,14.9666146391131,1
7.9663925170898,8.90104628425695,245.862412658324,8.61559968681375,0
-16.8139190673828,342.289728195295,261.424335647976,343.684706139927,1
3.1610641479492,2.30554542127692,99.70449521252,11.989686150003,1
-21.1345231321785,339.51031290777,224.405532836914,340.069372521914,1
-19.3881301879883,339.848531996115,125.272827994187,340.185556344403,1
14.3672152453741,14.2952907178623,276.366415610448,18.1748440821485,1
-9.6223983764648,350.540541365737,212.854693984087,352.187857961976,1
14.8436803616531,14.1072561604918,245.406506522286,8.17011791394018,0
-5.84704971313475,354.356566392612,266.486733794773,353.951763152441,0
-13.5438842773438,346.454751246424,250.265666109261,346.054019488874,0
-11.6971570577461,347.455028265661,315.40714263916,346.231171966037,0
-12.364387512207,346.720633525229,309.919818549657,338.301166759203,0
-9.9735412597656,349.295174459873,256.93291959269,334.833659515386,0
-27.3969955444336,332.401997566071,293.75031976947,333.215770319307,1
-5.30652618408202,354.894054015355,275.043795255389,351.644320358186,0
-5.9292068481445,354.68387160291,82.6169395378849,356.239510267748,1
-10.2456817626953,350.279246960556,83.037719726562,350.590562008004,1
-16.593376159668,342.600854098678,234.917874980745,341.097339660591,0
-9.29432678222661,350.251504514593,253.808040942978,350.088409616009,0
-19.6681671142578,339.419429100455,253.951769741742,339.057890644682,0
-19.6158640554183,340.756726271363,253.351017237782,329.73724213735,0
-13.2903036391101,347.2053202689,250.335372924805,347.021914348932,0
-15.2365625668387,345.42714191762,249.135176769972,345.612904021897,1
-0.483922200637238,0.401392442613997,248.000986470121,0.194361845757993,0
-1.14772235094972,358.059669514516,245.171737670898,359.52311931155,1
-4.79591369628911,354.47705774348,258.402077481965,352.341597143198,0
-5.09119415283206,355.130634702225,253.025606808602,355.076884429818,0
-8.58331298828119,351.144299844511,246.653922986049,350.870295718967,0
-3.82021713256836,357.160869810332,231.379486083984,357.150160577066,0
-3.79243530918778,356.663346508001,239.452644348145,358.514377842625,1
-17.4824279271904,343.37792067166,99.7685026009778,339.682308976013,0
-5.1226119995117,355.656422859278,118.930581457249,355.355377266527,0
-13.3795623779297,346.541934498054,227.993057973401,346.233109575226,0
-6.1266708374023,353.136207943152,235.843559493109,353.276242857025,1
-6.34585917532094,353.44979948833,241.742637634278,353.556556654475,1
-7.83831787109381,352.120718175177,234.373611763412,352.941642574586,1
-10.5158081054688,350.466194273204,259.364223321295,349.167695578172,0
0.895401000976591,9.87354551966746e-05,251.752641322485,1.12274922136999,1
-2.02925109863281,357.813301155478,226.508605133521,356.220115896192,0
